,birthyear,author,title,pub_year
952,1809.0,Oliver Wendell Holmes,A Mortal Antipathy,
953,1819.0,Herman Melville,Moby Dick,1931.0
954,1875.0,Rafael Sabatini,The Lion's Skin,
955,1836.0,Bret Harte,The Argonauts of North Liberty,1888.0
956,1836.0,Bret Harte,Sally Dows,
957,1836.0,Bret Harte,A Phyllis of the Sierras,
958,1836.0,Bret Harte,A Drift from Redwood Camp,
959,1856.0,H. Rider Haggard,Maiwa's Revenge,1888.0
960,1876.0,Mary Roberts Rinehart,Long Live the King!,
961,1843.0,Henry James,The Real Thing and Other Tales,1893.0
962,1843.0,Henry James,Sir Dominick Ferrand,
963,1843.0,Henry James,Nona Vincent,
964,1843.0,Henry James,The Chaperon,
965,1843.0,Henry James,The Pension Beaurepas,
966,1856.0,H. Rider Haggard,Eric Brighteyes,1890.0
967,1856.0,H. Rider Haggard,Morning Star,1910.0
968,1836.0,Bret Harte,A First Family of Tasajara,1891.0
969,1866.0,Grace S. Richmond,Red Pepper Burns,
970,1832.0,Louisa May Alcott,Eight Cousins,
971,1856.0,H. Rider Haggard,Allan's Wife,
972,1856.0,H. Rider Haggard,Hunter Quatermain's Story,
973,1856.0,H. Rider Haggard,A Tale of Three Lions,
974,1856.0,H. Rider Haggard,Long Odds,
975,1832.0,Emile Gaboriau,The Champdoce Mystery,
976,1802.0,Alexandre Dumas,"Derues
Celebrated Crimes",
977,1802.0,Alexandre Dumas,Celebrated Crimes (Complete),
978,1856.0,H. Rider Haggard,"Benita, an African romance",
979,1856.0,H. Rider Haggard,The Brethren,1904.0
980,1844.0,H. Rider Haggard,The World's Desire,1890.0
981,1856.0,H. Rider Haggard,The Mahatma and the Hare: A Dream Story,
982,1846.0,John McElroy,The Red Acorn,
983,1856.0,H. Rider Haggard,Cleopatra,1889.0
984,1844.0,Margaret Sidney,Five Little Peppers and How They Grew,
985,1867.0,John Galsworthy,The Island Pharisees,1904.0
986,1867.0,John Galsworthy,The Country House,
987,1867.0,John Galsworthy,Fraternity,
988,1867.0,John Galsworthy,The Patrician,
989,1862.0,O. Henry,The Four Million,1906.0
990,1862.0,O. Henry,Cabbages and Kings,1904.0
